bucket,review_key,product_count,max_priority_score,closest_tier_boundary,identity_confidence_counts,sample_dsld_ids
external_literature_review_required,broccoli,16,2.8,5.0,"{""moderate"":16}","[""253943"",""311179"",""311180"",""311181"",""311182"",""311183"",""311184"",""311185"",""311186"",""330462""]"
external_literature_review_required,fructo oligosaccharides,8,2.8,1.0,"{""low"":7,""moderate"":1}","[""47095"",""47096"",""77770"",""259585"",""259590"",""259592"",""259602"",""290590""]"
external_literature_review_required,nattokinase,8,2.8,1.0,"{""moderate"":8}","[""24619"",""277962"",""277963"",""277964"",""277965"",""302692"",""302693"",""315687""]"
external_literature_review_required,kudzu,11,2.75,5.0,"{""high"":11}","[""252569"",""255065"",""255066"",""255067"",""312070"",""312071"",""312072"",""312073"",""331155"",""331156""]"
external_literature_review_required,cherry unspecified,7,2.625,3.0,"{""high"":3,""moderate"":4}","[""294293"",""294294"",""294295"",""311881"",""311882"",""311883"",""311884""]"
external_literature_review_required,fennel,15,2.625,5.0,"{""moderate"":15}","[""63161"",""252481"",""253549"",""253557"",""253559"",""294443"",""294444"",""294445"",""294446"",""312473""]"
external_literature_review_required,green coffee bean,15,2.625,5.0,"{""moderate"":15}","[""29340"",""63306"",""252516"",""253660"",""253665"",""253672"",""312583"",""312584"",""312585"",""312586""]"
external_literature_review_required,natural raspberry powder,15,2.625,5.0,"{""moderate"":15}","[""252665"",""254189"",""254190"",""254191"",""311824"",""311825"",""311826"",""311827"",""311832"",""311833""]"
external_literature_review_required,american ginseng,5,2.5,0.0,"{""high"":5}","[""1627"",""1630"",""18276"",""63928"",""74798""]"
external_literature_review_required,brewer s yeast,5,2.5,1.0,"{""high"":1,""low"":1,""moderate"":3}","[""25492"",""206322"",""214910"",""232728"",""302655""]"
external_literature_review_required,histidine,20,2.5,6.0,"{""high"":20}","[""241772"",""252768"",""252771"",""254464"",""254471"",""254472"",""254482"",""254483"",""254484"",""261613""]"
external_literature_review_required,celery,14,2.45,5.0,"{""low"":1,""moderate"":13}","[""252455"",""253440"",""253441"",""253444"",""312672"",""312673"",""312674"",""312675"",""312871"",""327400""]"
external_literature_review_required,eyebright,14,2.45,5.0,"{""low"":1,""moderate"":13}","[""216303"",""252478"",""253527"",""253530"",""253531"",""312469"",""312470"",""312471"",""312472"",""327957""]"
external_literature_review_required,yohimbe,19,2.375,10.0,"{""high"":19}","[""703"",""5821"",""74634"",""74661"",""252787"",""254734"",""254735"",""254738"",""270831"",""306418""]"
external_literature_review_required,horny goat weed,9,2.3625,3.0,"{""moderate"":9}","[""269548"",""294899"",""294902"",""315650"",""331000"",""331001"",""331002"",""331003"",""331004""]"
